user_id,most_search_month_6,most_search_month_7,category_t6,category_t7,Trending_Type,Previous
0003361,tình yêu giả dối,lộc đỉnh ký,K-drama,C-drama,Changed,K-drama -> C-drama
0005748,lời nguyền ma lai,chuyen sinh thanh nhen,Thai-drama,Anime,Changed,Thai-drama -> Anime
0005748,lời nguyền ma lai,chuyen sinh thanh nhen,Thai-drama,Anime,Changed,Thai-drama -> Anime
0008207,CONAN,TIENG ANH LOP 5,Anime,other,Changed,Anime -> other
0017684,sứ mệnh cuói cung cua thien than,bác sĩ yo han,K-drama,K-drama,Unchanged,Unchanged
0019650,hori,classroomoftheelite,Anime,Anime,Unchanged,Unchanged
0027835,another,minh lan truyeenj,other,C-drama,Changed,other -> C-drama
0041173,detective k: secret of virtuous widow,anna,K-drama,K-drama,Unchanged,Unchanged
0041173,detective k: secret of virtuous widow,anna,K-drama,K-drama,Unchanged,Unchanged
0060714,học viện ma vương,học viện anh hùng (phần 4),Anime,Anime,Unchanged,Unchanged
0064645,unforgettable love,cá mực hầm mật,C-drama,C-drama,Unchanged,Unchanged
0101498,năm ấy hoa nở trăng vừa tròn,nam cung phu nhân,C-drama,C-drama,Unchanged,Unchanged
0103456,phim thương ngày nắng về,nữ luật sư kỳ lạ,Viet-drama,K-drama,Changed,Viet-drama -> K-drama
0115100,cặp đôi trái ngược,the 1000,K-drama,other,Changed,K-drama -> other
0115494,nhiếp viễn,đêm giao thừa,C-drama,K-drama,Changed,C-drama -> K-drama
0124079,JoJo,phim lẻ,Anime,other,Changed,Anime -> other
0139158,lật ngược,số phận và sự giận dữ,Westen,K-drama,Changed,Westen -> K-drama
0150958,vương giả thiên hạ phần 1,dr stone,Anime,Anime,Unchanged,Unchanged
0151915,CUOC CHIEN,TINH HA XAN LAN,K-drama,C-drama,Changed,K-drama -> C-drama
0153643,yêu em từ cái nhìn đầu tiên,hắc bạch vô song (phần 1),C-drama,C-drama,Unchanged,Unchanged
0161303,TIENG GOI CON TIM,BERSERK,K-drama,Anime,Changed,K-drama -> Anime
016508,Bigfoot,"taxi, em tên gì?",animation,Viet-drama,Changed,animation -> Viet-drama
0166772,khủng long,siêu nhân,Westen,Westen,Unchanged,Unchanged
0166772,khủng long,siêu nhân,Westen,Anime,Changed,Westen -> Anime
0166772,khủng long,siêu nhân,Westen,animation,Changed,Westen -> animation
0176335,eve,nikita (season 2),K-drama,Westen,Changed,K-drama -> Westen
0180845,người tình của an na,bán yêu tư đằng,C-drama,C-drama,Unchanged,Unchanged
0184832,nàng vệ,cung tỏa liên thang,Thai-drama,C-drama,Changed,Thai-drama -> C-drama
0199780,thu thach than tuong,anna,Game shơw,K-drama,Changed,Game shơw -> K-drama
0199780,thu thach than tuong,anna,Game shơw,K-drama,Changed,Game shơw -> K-drama
0201199,vagabond,người thầy y đức 2,Westen,K-drama,Changed,Westen -> K-drama
0204830,lang quân 100 ngày,điên thì có sao,K-drama,K-drama,Unchanged,Unchanged
0218698,bắt ma phá án,khách sạn ma quái,K-drama,K-drama,Unchanged,Unchanged
0230298,tìm em trong ky uc,nỗi vương vấn của hạ tiên sinh,K-drama,C-drama,Changed,K-drama -> C-drama
0231534,chàng hậu,cuộc chiến giày gót nhọn,K-drama,K-drama,Unchanged,Unchanged
0231670,lấy danh nghĩa người nhà,PACIFIC RIM,C-drama,Westen,Changed,C-drama -> Westen
0242377,lồng tiếng,penthouse 2,other,K-drama,Changed,other -> K-drama
0261295,hoàng hậu ki,kết hôn rồi bắt đầu yêu,K-drama,C-drama,Changed,K-drama -> C-drama
0262016,công chúa an,hoa nở đêm trăng thu,animation,C-drama,Changed,animation -> C-drama
0277535,đao kiếm thần vực phần 1,hiromiya,Anime,Anime,Unchanged,Unchanged
0280976,cuộc chiến thượng lưu 3,thanh thanh tử khâm,K-drama,C-drama,Changed,K-drama -> C-drama
0288542,chuyến tàu băng giá,cheo leo vách núi,Westen,Westen,Unchanged,Unchanged
0301699,gửi thời,giọng hát việt nhí 2019,C-drama,Game shơw,Changed,C-drama -> Game shơw
0305529,năm tháng vội vã,lâng lâng s1,C-drama,Westen,Changed,C-drama -> Westen
030833,trường ca,hẹn hò trốn công sở,C-drama,K-drama,Changed,C-drama -> K-drama
0313634,hàn quốc,bhf 2022,K-drama,other,Changed,K-drama -> other
0318156,love in sadness,nhất kiến khuynh tâm,K-drama,C-drama,Changed,K-drama -> C-drama
0318156,love in sadness,nhất kiến khuynh tâm,K-drama,Thai-drama,Changed,K-drama -> Thai-drama
0329662,vt,wimbledon,other,Westen,Changed,other -> Westen
0352849,buruto,sword art online: alicization phần (phần 1),Anime,Anime,Unchanged,Unchanged
0356951,đường hầm,avatar,K-drama,Westen,Changed,K-drama -> Westen
0377008,harry potter,running brother,Westen,Game shơw,Changed,Westen -> Game shơw
0387540,độc nữ quân vị kiến,cô nàng trong trắng oh woo ri,C-drama,K-drama,Changed,C-drama -> K-drama
0392220,mộng hoa lục,nữ luật sự,C-drama,K-drama,Changed,C-drama -> K-drama
0395889,boruto tap24,thủy hử,Anime,C-drama,Changed,Anime -> C-drama
0401615,hạ tiên sinh,trần thiên thiên,K-drama,C-drama,Changed,K-drama -> C-drama
0403476,quãng đời còn lại xin đc chỉ giáo,phim hoa khai bán hạ,C-drama,C-drama,Unchanged,Unchanged
0406157,phàm nhân tu tiên (phần 3),SINH TU,C-drama,Viet-drama,Changed,C-drama -> Viet-drama
0407626,spider-man: no way home,thor,Westen,Westen,Unchanged,Unchanged
0417719,prime provider,prime provider,other,other,Unchanged,Unchanged
0431539,mộng lục hoa,hương mật tựa khói sương,C-drama,C-drama,Unchanged,Unchanged
0441403,phim hàn quốc,thiên cổ huyết tâm,K-drama,C-drama,Changed,K-drama -> C-drama
0459757,jujutsu kaisen,classroom,Anime,Anime,Unchanged,Unchanged
0475576,chiến tranh giữa các vì sao: tập i – hiểm họa bóng ma,jackie,Westen,Westen,Unchanged,Unchanged
0479873,vẻ đẹp đích thực,anna,K-drama,K-drama,Unchanged,Unchanged
0479873,vẻ đẹp đích thực,anna,K-drama,K-drama,Unchanged,Unchanged
0510086,game of thrones s1,bí kíp luyện rồng 3,Westen,animation,Changed,Westen -> animation
0513163,khi em mỉm cười rất đẹp,quốc tử giám,K-drama,C-drama,Changed,K-drama -> C-drama
0516318,nhân tình bí ẩn,yêu thầm anh xã,K-drama,Thai-drama,Changed,K-drama -> Thai-drama
0534219,phim kẻ truyền thừa của thái lan,thiên nga bóng đêm,Thai-drama,K-drama,Changed,Thai-drama -> K-drama
0534415,siêu nhân,đội bay siêu đẳng,Westen,animation,Changed,Westen -> animation
0534415,siêu nhân,đội bay siêu đẳng,Anime,animation,Changed,Anime -> animation
0534415,siêu nhân,đội bay siêu đẳng,animation,animation,Unchanged,Unchanged
0537443,đông cung,cá mực hầm mật,C-drama,C-drama,Unchanged,Unchanged
0540671,phong vị giang hồ,cẩm tâm tựa ngọc,C-drama,C-drama,Unchanged,Unchanged
0557443,penthouse 2,nhà trọ waikiki,K-drama,K-drama,Unchanged,Unchanged
0559119,sk8,những thiên thần đanh thép,Anime,Westen,Changed,Anime -> Westen
058433,do you believe?,siêu nhân,Westen,Westen,Unchanged,Unchanged
058433,do you believe?,siêu nhân,Westen,Anime,Changed,Westen -> Anime
058433,do you believe?,siêu nhân,Westen,animation,Changed,Westen -> animation
0589053,RONG T,THAN,other,other,Unchanged,Unchanged
0594794,stranger from hell,stranger thing,K-drama,Westen,Changed,K-drama -> Westen
0597793,bống bống bang bang,thiếu nhi,Viet-drama,other,Changed,Viet-drama -> other
06000110,sait,chuyển sinh thành slime,other,Anime,Changed,other -> Anime
06000470,phim vua biển cả,aquaman đế vương,Westen,Westen,Unchanged,Unchanged
06001554,bạn gái bạn trai,thư ký kim sao thế?,other,K-drama,Changed,other -> K-drama
06001640,overlord iii,boku no hero academia (season 4),Anime,Anime,Unchanged,Unchanged
06001900,tran tinh lenh,nỗi vương vấn của hạ tiên sinh,C-drama,C-drama,Unchanged,Unchanged
06003405,chuyển sinh thành nhện,fairy tail,Anime,Anime,Unchanged,Unchanged
