Contract,Total_Giai_tri,Total_Phim_truyen,Total_The_thao,Total_Thieu_nhi,Total_Truyen_hinh,TotalDevices,MostWatch,CustomerTaste,Activeness,CustomerType
113.182.209.48,89,0,0,0,63,1,Giai_tri,Truyen_hinh-Giai_tri,very low,1
14.182.110.125,92,0,0,0,404,1,Truyen_hinh,Truyen_hinh-Giai_tri,very low,1
AGAAA0338,0,0,0,0,278633,1,Truyen_hinh,Truyen_hinh,very high,6
AGAAA0342,204,0,0,0,117788,1,Truyen_hinh,Truyen_hinh-Giai_tri,low,2
AGAAA0391,373,129,0,0,158931,1,Truyen_hinh,Truyen_hinh-Phim_truyen-Giai_tri,low,2
AGAAA0452,0,0,0,0,29921,1,Truyen_hinh,Truyen_hinh,low,2
AGAAA0593,0,0,0,0,1038,1,Truyen_hinh,Truyen_hinh,very low,1
AGAAA0613,26,0,0,0,9377,1,Truyen_hinh,Truyen_hinh-Giai_tri,high,0
AGAAA0638,0,0,0,0,227016,1,Truyen_hinh,Truyen_hinh,very high,6
AGAAA0663,0,0,0,0,89001,1,Truyen_hinh,Truyen_hinh,very high,6
AGAAA0692,0,0,0,0,107057,1,Truyen_hinh,Truyen_hinh,low,2
AGAAA0693,482,33,0,10361,233447,1,Truyen_hinh,Truyen_hinh-Phim_truyen-Giai_tri-Thieu_nhi,very high,6
AGAAA0718,0,0,0,0,634586,1,Truyen_hinh,Truyen_hinh,high,5
AGAAA0723,0,0,0,0,9279,1,Truyen_hinh,Truyen_hinh,moderate,3
AGAAA0729,0,0,0,0,161781,1,Truyen_hinh,Truyen_hinh,very low,0
AGAAA0732,0,463,0,0,99030,1,Truyen_hinh,Truyen_hinh-Phim_truyen,high,5
AGAAA0737,0,0,0,0,29830,1,Truyen_hinh,Truyen_hinh,very low,1
AGAAA0750,0,0,0,0,525708,1,Truyen_hinh,Truyen_hinh,high,5
AGAAA0848,0,0,0,0,12141,1,Truyen_hinh,Truyen_hinh,high,0
AGAAA0849,0,0,0,0,18769,1,Truyen_hinh,Truyen_hinh,very high,0
AGAAA0864,0,0,0,0,260407,1,Truyen_hinh,Truyen_hinh,very low,0
AGAAA0885,0,0,0,0,354499,1,Truyen_hinh,Truyen_hinh,moderate,4
AGAAA0886,0,0,0,0,39163,1,Truyen_hinh,Truyen_hinh,low,2
AGAAA0894,0,0,0,0,41583,1,Truyen_hinh,Truyen_hinh,moderate,3
AGAAA0901,0,0,0,0,796083,1,Truyen_hinh,Truyen_hinh,very high,6
AGAAA0937,0,0,0,0,86400,1,Truyen_hinh,Truyen_hinh,very low,0
AGAAA1004,0,0,0,0,58329,1,Truyen_hinh,Truyen_hinh,high,0
AGAAA1047,0,53227,0,0,305816,1,Truyen_hinh,Truyen_hinh-Phim_truyen,very high,6
AGAAA1147,103,0,0,0,1299590,1,Truyen_hinh,Truyen_hinh-Giai_tri,high,5
AGAAA1218,0,0,0,0,132794,1,Truyen_hinh,Truyen_hinh,low,2
AGAAA1223,0,0,0,0,323392,1,Truyen_hinh,Truyen_hinh,very low,0
AGAAA1282,0,0,0,427,168792,1,Truyen_hinh,Truyen_hinh-Thieu_nhi,very low,0
AGAAA1288,0,0,0,0,164868,1,Truyen_hinh,Truyen_hinh,low,2
AGAAA1306,0,0,29,416,108905,1,Truyen_hinh,Truyen_hinh-The_thao-Thieu_nhi,high,5
AGAAA1316,0,0,0,0,198831,1,Truyen_hinh,Truyen_hinh,very high,6
AGAAA1345,0,0,0,0,58622,1,Truyen_hinh,Truyen_hinh,very high,6
AGAAA1367,0,0,0,0,1535818,1,Truyen_hinh,Truyen_hinh,moderate,4
AGAAA1376,0,0,0,0,259200,1,Truyen_hinh,Truyen_hinh,very low,0
AGAAA1389,0,0,0,0,1252129,1,Truyen_hinh,Truyen_hinh,very high,6
AGAAA1414,0,0,0,0,106617,1,Truyen_hinh,Truyen_hinh,very low,0
AGAAA1415,0,0,0,0,279649,2,Truyen_hinh,Truyen_hinh,high,5
AGAAA1430,0,0,0,0,207480,1,Truyen_hinh,Truyen_hinh,very low,0
AGAAA1464,0,0,0,0,553214,1,Truyen_hinh,Truyen_hinh,very high,6
AGAAA1511,0,120050,0,0,302559,1,Truyen_hinh,Truyen_hinh-Phim_truyen,very high,6
AGAAA1537,0,257,0,0,68597,1,Truyen_hinh,Truyen_hinh-Phim_truyen,very high,6
AGAAA1539,0,0,0,0,172800,1,Truyen_hinh,Truyen_hinh,very low,0
AGAAA1561,0,0,0,0,915378,1,Truyen_hinh,Truyen_hinh,high,5
AGAAA1567,0,0,0,0,86400,1,Truyen_hinh,Truyen_hinh,very low,0
AGAAA1587,0,0,0,0,258299,1,Truyen_hinh,Truyen_hinh,low,0
AGAAA1636,0,0,0,0,14868,1,Truyen_hinh,Truyen_hinh,very low,1
